nquest,pesofit,y,riscons2
173,.31019312,16636.652,0
375,1.8227158,13939.661,0
633,.39206496,20305.498,0
923,.31694838,13874.425,30
1367,.366456,14155.201,60
1763,1.9135789,16902.199,0
1946,.31276542,6641.9985,20
2886,.27988002,54380.145,0
3717,.24404269,0,80
5416,1.0889668,43005.875,100
7886,1.1886446,30439.088,10
11972,.21469243,30054.979,50
20297,2.0407045,32678.326,50
20711,1.4229848,28305.207,0
20837,.23710452,47123.348,0
22099,1.0480986,18229.832,50
22169,.59502566,14200,100
22173,.94801658,22725.656,50
22208,.44539538,31747.555,50
22276,1.1030968,29892.063,30
22286,1.0782177,26729.328,90
22624,.28657687,19300,0
22657,2.1692696,44252.633,40
22996,.26475224,39458.934,55
23370,.33749616,16849.17,30
23490,.37858608,23617.227,0
23797,.86391968,27831.154,50
23821,.40615618,12183.219,100
23823,.38440576,30855.17,100
24147,1.1991594,65915.195,0
24149,1.6509212,12097.33,100
24194,.54260111,68560.492,0
24382,2.0810559,11891.291,90
24616,.7498008,26814.66,10
24760,.23535784,16836.652,50
24764,.34440669,28010.996,0
24809,1.6176915,30525.656,95
24853,.25522268,54344.934,0
25007,.21783184,18983.168,50
26349,.65309417,19081.219,100
27109,1.3526185,7800,100
27114,1.3061165,16094.661,50
27116,1.3061165,12003.299,100
27157,.47184452,10202.547,100
27238,3.3604014,31636.652,100
27509,.3992171,27618.342,50
27730,.65642649,45664.66,100
27734,.41672978,23462.297,20
27739,.46045804,26363.949,60
27742,.46045804,12360,0
27912,.24968024,34329.32,80
27923,.22330488,24208.49,30
27947,.30547789,22102.785,10
28362,.4588691,25950.676,60
28441,1.1835868,40256.023,50
28802,.93864602,54410.781,70
28859,.84098834,11855.783,0
28992,.58633196,32093.305,10
29140,1.1886446,42734.57,40
29678,.19583555,18957.555,0
29680,.42942393,39605.496,50
29737,2.0752177,66889.281,50
29742,3.0291398,39630,100
29798,.80787945,29579.834,0
29823,.46104452,43940,50
31093,.36856431,22251.279,70
31220,.45964238,59698.141,10
31221,.63104856,29707.33,100
31246,1.6397153,38410.762,65
31625,.40067378,38353.707,0
31652,1.6746029,49981.09,0
31665,.32797241,30822.816,0
31671,.31727022,33070.156,0
31695,.34946686,48710.996,0
31724,2.2407668,90575.523,20
31757,.44147998,17556.449,0
31799,.6340766,31153.623,0
31860,.47499064,42927.02,50
32034,1.8250166,21717.352,50
32044,2.2358403,8982.5654,95
32052,1.7887803,33234.32,20
32057,2.1723056,49387.918,50
32190,.33871719,24236.652,40
32318,.4212985,18936.652,0
32320,.64776677,81824.664,100
32471,2.009306,11418.164,20
32524,.35412914,77592.461,0
32556,.44539538,21721.992,50
32668,2.4155042,31725.291,20
32703,.3747237,13800,0
32709,.5342648,89528.977,0
32729,.42126292,63461.281,50
32734,.53410721,23807.33,30
32751,.25099114,33239.621,0
32765,.30416396,58473.305,0
32772,.22715528,26883.264,0
32810,2.0286279,10898.204,0
32822,.73137909,41347.648,20
32839,.97655821,26754.037,0
32861,.88549876,56207.363,100
